Transaction ID,Product,Quantity,Unit Price (INR),Month,Sales Date,Customer Name,City,State,Country,Sales Channel,Payment Type,Total Sale (INR),Profit
TX0001,Smartwatch,9,"₹ 8,941.00",Apr,2024-04-12,Vivaan Sastry,Bharatpur,Arunachal Pradesh,India,Store,Credit Card,"₹ 80,469.00","₹ 24,140.70"
TX0002,Desktop PC,9,"₹ 19,827.00",Feb,2024-02-06,Ishaan Madan,Nellore,Odisha,India,Store,Credit Card,"₹ 178,443.00","₹ 53,532.90"
TX0003,Desktop PC,4,"₹ 16,640.00",Dec,2023-12-16,Azad Sandhu,New Delhi,Bihar,India,Online,Credit Card,"₹ 66,560.00","₹ 19,968.00"
TX0004,E-Reader,3,"₹ 2,945.00",Sep,2024-09-11,Shray Chawla,Gandhidham,Manipur,India,Online,Credit Card,"₹ 8,835.00","₹ 2,650.50"
TX0005,Laptop,4,"₹ 2,848.00",Oct,2023-10-24,Zara Kata,Surendranagar Dudhrej,Madhya Pradesh,India,Direct,Net Banking,"₹ 11,392.00","₹ 3,417.60"
TX0006,Laptop,7,"₹ 18,703.00",Dec,2023-12-24,Vritika Kata,Proddatur,Meghalaya,India,Store,Net Banking,"₹ 130,921.00","₹ 39,276.30"
TX0007,Tablet,4,"₹ 9,640.00",Nov,2023-11-27,Hrishita Dada,Buxar,Goa,India,Store,Credit Card,"₹ 38,560.00","₹ 11,568.00"
TX0008,External Hard Drive,7,"₹ 15,189.00",Jul,2024-07-13,Anaya Sachar,Srinagar,Punjab,India,Online,Debit Card,"₹ 106,323.00","₹ 31,896.90"
TX0009,Tablet,6,"₹ 4,093.00",Jan,2024-01-30,Indrans Jani,Karaikudi,Meghalaya,India,Online,UPI,"₹ 24,558.00","₹ 7,367.40"
TX0010,Smartphone,8,"₹ 7,088.00",Nov,2023-11-15,Shaan Dhar,Guna,Assam,India,Online,UPI,"₹ 56,704.00","₹ 17,011.20"
TX0011,Smartwatch,1,"₹ 11,790.00",Jul,2024-07-03,Lavanya Lal,Panihati,Sikkim,India,Online,UPI,"₹ 11,790.00","₹ 3,537.00"
